Source	Target	Weight
Taylor Fritz	Matteo Berrettini	1
Frances Tiafoe	Lorenzo Musetti	3
Taylor Fritz	Hubert Hurkacz	1
Frances Tiafoe	Kacper Zuk	1
Stefanos Tsitsipas	Matteo Berrettini	1
Lorenzo Musetti	Stefanos Sakellaridis	1
Stefanos Tsitsipas	Borna Coric	3
Borna Gojo	Stefanos Sakellaridis	1
Matteo Berrettini	Hubert Hurkacz	1
Lorenzo Musetti	Daniel Michalski	1
Cameron Norrie	Taylor Fritz	2
Frances Tiafoe	Daniel Evans	3
Stefanos Tsitsipas	David Goffin	1
Stefanos Sakellaridis	Zizou Bergs	1
Stefanos Tsitsipas	Grigor Dimitrov	2
Dimitar Kuzmanov	Michail Pervolarakis	1
Grigor Dimitrov	David Goffin	1
Dimitar Kuzmanov	Zizou Bergs	1
Hubert Hurkacz	Stan Wawrinka	1
Marc Andrea Huesler	Daniel Michalski	1
Hubert Hurkacz	Alexander Bublik	3
Timofey Skatov	Daniel Michalski	1
Stan Wawrinka	Alexander Bublik	2
Marc Andrea Huesler	Timofey Skatov	1
Taylor Fritz	Alexander Zverev	1
Frances Tiafoe	Oscar Otte	1
Taylor Fritz	Jiri Lehecka	3
Frances Tiafoe	Tomas Machac	1
Jiri Lehecka	Alexander Zverev	2
Oscar Otte	Dalibor Svrcina	1
Alex De Minaur	Rafael Nadal	1
Jason Kubler	Albert Ramos	1
Cameron Norrie	Rafael Nadal	1
Daniel Evans	Albert Ramos	1
Cameron Norrie	Alex De Minaur	2
Jason Kubler	Daniel Evans	1
Matteo Berrettini	Thiago Monteiro	1
Lorenzo Musetti	Felipe Meligeni Alves	1
Matteo Berrettini	Casper Ruud	1
Lorenzo Musetti	Viktor Durasovic	1
Casper Ruud	Thiago Monteiro	1
Felipe Meligeni Alves	Viktor Durasovic	1
Borna Coric	Arthur Rinderknech	2
Borna Gojo	Adrian Mannarino	1
Arthur Rinderknech	Francisco Cerundolo	1
Adrian Mannarino	Federico Coria	1
Borna Coric	Francisco Cerundolo	1
Borna Gojo	Federico Coria	1
Novak Djokovic	Sebastian Korda	1
Novak Djokovic	Daniil Medvedev	3
Sebastian Korda	Yoshihito Nishioka	1
Novak Djokovic	Denis Shapovalov	1
Daniil Medvedev	Karen Khachanov	3
Sebastian Korda	Jannik Sinner	1
Yoshihito Nishioka	Alexei Popyrin	1
Novak Djokovic	Quentin Halys	1
Denis Shapovalov	Roman Safiullin	2
Daniil Medvedev	Miomir Kecmanovic	1
Karen Khachanov	Jack Draper	2
Jannik Sinner	Thanasi Kokkinakis	2
Sebastian Korda	Roberto Bautista Agut	1
Yoshihito Nishioka	Mackenzie Mcdonald	3
Alexei Popyrin	Marcos Giron	1
Novak Djokovic	Constant Lestienne	1
Quentin Halys	Jordan Thompson	1
Roman Safiullin	Mikael Ymer	1
Denis Shapovalov	Rinky Hijikata	1
Daniil Medvedev	Lorenzo Sonego	2
Miomir Kecmanovic	Christopher Oconnell	1
Jack Draper	Soon Woo Kwon	2
Karen Khachanov	Pedro Cachin	1
Jannik Sinner	Kyle Edmund	2
Thanasi Kokkinakis	Maxime Cressy	1
Sebastian Korda	Andy Murray	1
Roberto Bautista Agut	Andrey Rublev	2
Yoshihito Nishioka	Holger Rune	1
Mackenzie Mcdonald	Daniel Elahi Galan	2
Marcos Giron	Richard Gasquet	1
Alexei Popyrin	Felix Auger Aliassime	2
Tallon Griekspoor	Benjamin Bonzi	1
Tallon Griekspoor	Aslan Karatsev	1
Benjamin Bonzi	Botic Van De Zandschulp	1
Tallon Griekspoor	Marin Cilic	1
Aslan Karatsev	Pedro Martinez	1
Benjamin Bonzi	Filip Krajinovic	1
Botic Van De Zandschulp	Maximilian Marterer	1
Marin Cilic	Roberto Carballes Baena	1
Tallon Griekspoor	Marco Cecchinato	1
Pedro Martinez	Sebastian Baez	1
Aslan Karatsev	Tim Van Rijthoven	1
Filip Krajinovic	Michael Mmoh	1
Benjamin Bonzi	Emil Ruusuvuori	1
Maximilian Marterer	Laslo Djere	1
Botic Van De Zandschulp	Flavio Cobolli	1
Roberto Carballes Baena	Bernabe Zapata Miralles	3
Marco Cecchinato	Nikoloz Basilashvili	1
Tallon Griekspoor	Jaume Munar	2
Pedro Martinez	Ramkumar Ramanathan	1
Tim Van Rijthoven	Radu Albot	1
Aslan Karatsev	Pablo Andujar	1
Filip Krajinovic	Sumit Nagal	1
Michael Mmoh	Manas Dhamne	1
Benjamin Bonzi	Chun Hsin Tseng	1
Laslo Djere	Alex Molcan	2
Maximilian Marterer	Elias Ymer	1
Flavio Cobolli	Sasi Kumar Mukund	1
Richard Gasquet	Cameron Norrie	1
Richard Gasquet	Constant Lestienne	1
Cameron Norrie	Jenson Brooksby	1
Constant Lestienne	Laslo Djere	2
Richard Gasquet	David Goffin	1
Jenson Brooksby	Quentin Halys	1
Cameron Norrie	Marcos Giron	1
Laslo Djere	Casper Ruud	2
Constant Lestienne	Gregoire Barrere	1
Richard Gasquet	Joao Sousa	1
David Goffin	Christopher Eubanks	1
Quentin Halys	Ben Shelton	1
Jenson Brooksby	Diego Schwartzman	1
Marcos Giron	J J Wolf	1
Cameron Norrie	Jiri Lehecka	2
Laslo Djere	Jaume Munar	1
Constant Lestienne	Pedro Cachin	1
Gregoire Barrere	John Isner	1
Richard Gasquet	Kiranpal Pannu	1
Christopher Eubanks	Ugo Humbert	1
David Goffin	Alexander Bublik	2
Ben Shelton	Sebastian Baez	1
Quentin Halys	Alex Molcan	1
Jenson Brooksby	Fabio Fognini	1
J J Wolf	Adrian Mannarino	2
Marcos Giron	Federico Coria	1
Jiri Lehecka	Thiago Monteiro	1
Soon Woo Kwon	Roberto Bautista Agut	1
Roberto Bautista Agut	Thanasi Kokkinakis	1
Thanasi Kokkinakis	Miomir Kecmanovic	1
Roberto Bautista Agut	Alejandro Davidovich Fokina	1
Soon Woo Kwon	Mikael Ymer	1
Thanasi Kokkinakis	Andrey Rublev	1
Miomir Kecmanovic	Jason Kubler	1
Roberto Bautista Agut	Robin Haase	1
Alejandro Davidovich Fokina	John Millman	1
Jack Draper	Tommy Paul	1
Karen Khachanov	Marc Andrea Huesler	1
Mikael Ymer	Mackenzie Mcdonald	2
Soon Woo Kwon	Pablo Carreno Busta	1
Thanasi Kokkinakis	Alexei Popyrin	1
Jason Kubler	Tomas Martin Etcheverry	1
Miomir Kecmanovic	Kyle Edmund	1
Robin Haase	Benjamin Bonzi	1
John Millman	Albert Ramos	1
Alejandro Davidovich Fokina	Brandon Nakashima	2
Tommy Paul	Christopher Oconnell	1
Jack Draper	Lorenzo Sonego	1
Marc Andrea Huesler	Arthur Rinderknech	1
Mackenzie Mcdonald	Daniel Evans	1
Mikael Ymer	Emil Ruusuvuori	2
Soon Woo Kwon	Tomas Machac	1
Rafael Nadal	Jack Draper	1
Mackenzie Mcdonald	Brandon Nakashima	2
Dalibor Svrcina	Jaume Munar	1
Yoshihito Nishioka	Mikael Ymer	1
Karen Khachanov	Bernabe Zapata Miralles	1
Jason Kubler	Sebastian Baez	1
Juncheng Shang	Oscar Otte	1
Frances Tiafoe	Daniel Altmaier	2
Hubert Hurkacz	Pedro Martinez	1
Lorenzo Sonego	Nuno Borges	1
Taro Daniel	Ernesto Escobedo	1
Denis Shapovalov	Dusan Lajovic	1
Sebastian Korda	Cristian Garin	1
Yosuke Watanuki	Arthur Rinderknech	1
John Millman	Marc Andrea Huesler	1
Daniil Medvedev	Marcos Giron	2
Stefanos Tsitsipas	Quentin Halys	1
Rinky Hijikata	Yannick Hanfmann	1
Tallon Griekspoor	Pavel Kotov	2
Botic Van De Zandschulp	Ilya Ivashka	3
Lloyd Harris	Lorenzo Musetti	1
Marton Fucsovics	Federico Coria	1
Tomas Martin Etcheverry	Gregoire Barrere	1
Cameron Norrie	Luca Van Assche	1
Constant Lestienne	Thiago Monteiro	1
Christopher Eubanks	Soon Woo Kwon	2
Jiri Lehecka	Borna Coric	1
Francisco Cerundolo	Guido Pella	1
Corentin Moutet	Yibing Wu	2
Alex Molcan	Stan Wawrinka	1
Felix Auger Aliassime	Vasek Pospisil	1
Andrey Rublev	Dominic Thiem	1
Emil Ruusuvuori	Max Purcell	1
Jeremy Chardy	Daniel Elahi Galan	1
Daniel Evans	Facundo Bagnis	1
Denis Kudla	Roman Safiullin	1
Ugo Humbert	Richard Gasquet	1
Maxime Cressy	Albert Ramos	1
Holger Rune	Filip Krajinovic	1
Pablo Carreno Busta	Pedro Cachin	1
Benjamin Bonzi	Mattia Bellucci	1
Adrian Mannarino	John Isner	1
Alex De Minaur	Yu Hsiou Hsu	1
Grigor Dimitrov	Aslan Karatsev	2
Laslo Djere	Zizou Bergs	2
Enzo Couacaud	Hugo Dellien	1
Novak Djokovic	Roberto Carballes Baena	1
Taylor Fritz	Nikoloz Basilashvili	1
Alexei Popyrin	Chun Hsin Tseng	1
Ben Shelton	Zhizhen Zhang	1
Nicolas Jarry	Miomir Kecmanovic	1
Diego Schwartzman	Oleksii Krutykh	1
J J Wolf	Jordan Thompson	2
Michael Mmoh	Laurent Lokoli	1
Alexander Zverev	Juan Pablo Varillas	1
Andy Murray	Matteo Berrettini	1
Thanasi Kokkinakis	Fabio Fognini	2
Brandon Holt	Aleksandar Vukic	1
Roberto Bautista Agut	Joao Sousa	1
Alejandro Davidovich Fokina	Alexander Bublik	1
Tommy Paul	Jan Lennard Struff	3
Jenson Brooksby	Christopher Oconnell	1
Casper Ruud	Tomas Machac	1
Mackenzie Mcdonald	Rafael Nadal	1
Yoshihito Nishioka	Dalibor Svrcina	1
Karen Khachanov	Jason Kubler	1
Frances Tiafoe	Juncheng Shang	2
Hubert Hurkacz	Lorenzo Sonego	1
Denis Shapovalov	Taro Daniel	1
Sebastian Korda	Yosuke Watanuki	1
Daniil Medvedev	John Millman	1
Stefanos Tsitsipas	Rinky Hijikata	2
Tallon Griekspoor	Botic Van De Zandschulp	1
Marton Fucsovics	Lloyd Harris	1
Jannik Sinner	Tomas Martin Etcheverry	1
Cameron Norrie	Constant Lestienne	1
Jiri Lehecka	Christopher Eubanks	1
Francisco Cerundolo	Corentin Moutet	1
Felix Auger Aliassime	Alex Molcan	1
Andrey Rublev	Emil Ruusuvuori	2
Daniel Evans	Jeremy Chardy	1
Ugo Humbert	Denis Kudla	1
Holger Rune	Maxime Cressy	3
Benjamin Bonzi	Pablo Carreno Busta	1
Alex De Minaur	Adrian Mannarino	2
Grigor Dimitrov	Laslo Djere	1
Novak Djokovic	Enzo Couacaud	1
Alexei Popyrin	Taylor Fritz	1
Ben Shelton	Nicolas Jarry	1
J J Wolf	Diego Schwartzman	1
Michael Mmoh	Alexander Zverev	1
Andy Murray	Thanasi Kokkinakis	1
Roberto Bautista Agut	Brandon Holt	1
Tommy Paul	Alejandro Davidovich Fokina	3
Jenson Brooksby	Casper Ruud	1
Karen Khachanov	Frances Tiafoe	1
Hubert Hurkacz	Denis Shapovalov	1
Sebastian Korda	Daniil Medvedev	2
Stefanos Tsitsipas	Tallon Griekspoor	1
Jannik Sinner	Marton Fucsovics	2
Felix Auger Aliassime	Francisco Cerundolo	3
Andrey Rublev	Daniel Evans	1
Holger Rune	Ugo Humbert	1
Alex De Minaur	Benjamin Bonzi	2
Novak Djokovic	Grigor Dimitrov	3
Ben Shelton	Alexei Popyrin	1
J J Wolf	Michael Mmoh	2
Roberto Bautista Agut	Andy Murray	1
Tommy Paul	Jenson Brooksby	1
Karen Khachanov	Yoshihito Nishioka	2
Sebastian Korda	Hubert Hurkacz	3
Stefanos Tsitsipas	Jannik Sinner	3
Jiri Lehecka	Felix Auger Aliassime	1
Andrey Rublev	Holger Rune	2
Novak Djokovic	Alex De Minaur	1
Ben Shelton	J J Wolf	2
Tommy Paul	Roberto Bautista Agut	1
Karen Khachanov	Sebastian Korda	2
Stefanos Tsitsipas	Jiri Lehecka	1
Novak Djokovic	Andrey Rublev	3
Tommy Paul	Ben Shelton	3
Stefanos Tsitsipas	Karen Khachanov	3
Novak Djokovic	Tommy Paul	1
Novak Djokovic	Stefanos Tsitsipas	1
Sebastian Baez	Federico Coria	2
