Name	Country	Rank	Points	Hand	Height
Carlos Alcaraz	ESP	1	6820	R	185.0
Rafael Nadal	ESP	2	6020	L	185.0
Casper Ruud	NOR	3	5820	R	183.0
Stefanos Tsitsipas	GRE	4	5550	R	193.0
Novak Djokovic	SRB	5	4820	R	188.0
Felix Auger Aliassime	CAN	6	4195	R	193.0
Daniil Medvedev	RUS	7	4065	R	198.0
Andrey Rublev	RUS	8	3930	R	188.0
Taylor Fritz	USA	9	3355	R	193.0
Hubert Hurkacz	POL	10	2905	R	196.0
Holger Rune	DEN	11	2888	R	185.0
Alexander Zverev	GER	12	2700	R	198.0
Pablo Carreno Busta	ESP	13	2495	R	188.0
Cameron Norrie	GBR	14	2445	L	188.0
Jannik Sinner	ITA	15	2410	R	188.0
Matteo Berrettini	ITA	16	2375	R	196.0
Marin Cilic	CRO	17	2105	R	198.0
Denis Shapovalov	CAN	18	2075	L	185.0
Frances Tiafoe	USA	19	2000	R	188.0
Karen Khachanov	RUS	20	1990	R	198.0
Roberto Bautista Agut	ESP	21	1940	R	183.0
Nick Kyrgios	AUS	22	1870	R	193.0
Lorenzo Musetti	ITA	23	1865	R	185.0
Alex De Minaur	AUS	24	1790	R	183.0
Diego Schwartzman	ARG	25	1700	R	170.0
Borna Coric	CRO	26	1685	R	188.0
Daniel Evans	GBR	27	1585	R	175.0
Grigor Dimitrov	BUL	28	1460	R	188.0
Miomir Kecmanovic	SRB	29	1420	R	183.0
Francisco Cerundolo	ARG	30	1395	R	185.0
Alejandro Davidovich Fokina	ESP	31	1280	R	183.0
Tommy Paul	USA	32	1210	R	185.0
Sebastian Korda	USA	33	1175	R	196.0
Maxime Cressy	USA	34	1163	R	198.0
Botic Van De Zandschulp	NED	35	1160	R	188.0
Yoshihito Nishioka	JPN	36	1134	L	170.0
Alexander Bublik	KAZ	37	1130	R	196.0
Albert Ramos	ESP	39	1075	L	188.0
Emil Ruusuvuori	FIN	40	1011	R	188.0
John Isner	USA	41	1005	R	206.0
Jack Draper	GBR	42	990	L	191.0
Sebastian Baez	ARG	43	987	R	170.0
Arthur Rinderknech	FRA	44	952	R	196.0
Lorenzo Sonego	ITA	45	950	R	191.0
Adrian Mannarino	FRA	46	946	L	183.0
Brandon Nakashima	USA	47	927	R	185.0
Jenson Brooksby	USA	48	920	R	188.0
Andy Murray	GBR	49	920	R	190.0
Alex Molcan	SVK	50	895	L	178.0
Corentin Moutet	FRA	51	892	L	178.0
Gael Monfils	FRA	52	880	R	193.0
David Goffin	BEL	53	870	R	180.0
Filip Krajinovic	SRB	54	845	R	185.0
Fabio Fognini	ITA	55	843	R	178.0
Marc Andrea Huesler	SUI	56	818	L	196.0
Pedro Cachin	ARG	57	813	R	185.0
Jaume Munar	ESP	58	802	R	183.0
Aslan Karatsev	RUS	59	795	R	185.0
Benjamin Bonzi	FRA	60	781	R	185.0
Marcos Giron	USA	61	776	R	180.0
Pedro Martinez	ESP	62	776	R	185.0
Mackenzie Mcdonald	USA	63	775	R	178.0
Quentin Halys	FRA	64	767	R	191.0
Constant Lestienne	FRA	65	760	R	180.0
J J Wolf	USA	66	746	R	183.0
Daniel Elahi Galan	COL	67	741	R	191.0
Richard Gasquet	FRA	68	740	R	185.0
Mikael Ymer	SWE	69	739	R	183.0
Laslo Djere	SRB	70	738	R	188.0
Thiago Monteiro	BRA	71	738	L	183.0
Bernabe Zapata Miralles	ESP	72	712	R	185.0
Ilya Ivashka	BLR	73	705	R	193.0
Roberto Carballes Baena	ESP	74	695	R	183.0
Federico Coria	ARG	75	695	R	180.0
Oscar Otte	GER	76	691	R	196.0
Christopher Oconnell	AUS	78	652	R	183.0
Tomas Martin Etcheverry	ARG	79	649	R	196.0
Dusan Lajovic	SRB	80	646	R	180.0
Jiri Lehecka	CZE	81	646	R	185.0
Joao Sousa	POR	82	638	R	185.0
Soon Woo Kwon	KOR	83	630	R	180.0
Jordan Thompson	AUS	84	626	R	183.0
Cristian Garin	CHI	85	615	R	185.0
Ugo Humbert	FRA	86	613	L	188.0
Marton Fucsovics	HUN	87	607	R	188.0
Roman Safiullin	RUS	88	606	R	185.0
Facundo Bagnis	ARG	89	603	L	183.0
Gregoire Barrere	FRA	90	603	R	183.0
Nikoloz Basilashvili	GEO	91	595	R	185.0
Taro Daniel	JPN	92	594	R	191.0
Thanasi Kokkinakis	AUS	93	592	R	196.0
Daniel Altmaier	GER	94	590	R	191.0
Tallon Griekspoor	NED	95	584	R	188.0
Ben Shelton	USA	96	584	L	nan
Tomas Machac	CZE	97	580	R	183.0
Vasek Pospisil	CAN	98	570	R	193.0
Zhizhen Zhang	CHN	99	569	R	193.0
Alejandro Tabilo	CHI	100	567	L	188.0
Marco Cecchinato	ITA	101	562	R	185.0
Dominic Thiem	AUT	102	561	R	185.0
Radu Albot	MDA	103	559	R	175.0
Emilio Gomez	ECU	104	553	R	185.0
Juan Pablo Varillas	PER	105	552	R	185.0
Denis Kudla	USA	106	548	R	180.0
Jason Kubler	AUS	107	538	R	178.0
Hugo Gaston	FRA	108	526	L	173.0
Jiri Vesely	CZE	109	524	L	198.0
Steve Johnson	USA	110	517	R	188.0
Tim Van Rijthoven	NED	111	516	R	188.0
Nuno Borges	POR	112	512	R	185.0
Michael Mmoh	USA	113	507	R	188.0
Chun Hsin Tseng	TPE	115	490	R	175.0
Yibing Wu	CHN	116	488	R	183.0
Pavel Kotov	RUS	117	483	R	191.0
Dominic Stricker	SUI	118	483	L	180.0
Francesco Passaro	ITA	119	473	R	nan
Alexei Popyrin	AUS	120	469	R	196.0
Pablo Andujar	ESP	121	467	R	180.0
Jurij Rodionov	AUT	122	465	L	191.0
Christopher Eubanks	USA	123	462	R	201.0
Fernando Verdasco	ESP	124	460	L	188.0
Federico Delbonis	ARG	125	456	L	190.0
Camilo Ugo Carabelli	ARG	126	449	R	nan
Elias Ymer	SWE	127	444	R	183.0
Yannick Hanfmann	GER	128	435	R	193.0
Zizou Bergs	BEL	129	435	R	185.0
Aleksandar Vukic	AUS	130	429	R	188.0
Jack Sock	USA	131	428	R	185.0
Hugo Dellien	BOL	132	425	R	180.0
Matteo Arnaldi	ITA	134	419	R	183.0
Luca Nardi	ITA	135	408	R	185.0
Lukas Klein	SVK	136	405	R	193.0
Jozef Kovalik	SVK	137	404	R	183.0
Luca Van Assche	FRA	139	403	R	nan
Hugo Grenier	FRA	141	388	R	196.0
Timofey Skatov	RUS	142	387	R	173.0
Borna Gojo	CRO	144	381	R	196.0
Yosuke Watanuki	JPN	145	381	R	180.0
John Millman	AUS	147	378	R	183.0
Stan Wawrinka	SUI	148	377	R	183.0
Filip Misolic	AUT	149	376	R	nan
Jan Lennard Struff	GER	150	375	R	193.0
Juan Manuel Cerundolo	ARG	151	370	L	183.0
Nicolas Jarry	CHI	152	370	R	198.0
Mattia Bellucci	ITA	153	370	L	nan
Alexander Shevchenko	RUS	154	369	R	nan
James Duckworth	AUS	155	363	R	183.0
Gijs Brouwer	NED	156	360	L	nan
Leandro Riedi	SUI	157	360	R	191.0
Aleksandar Kovacevic	USA	158	360	U	nan
Maximilian Marterer	GER	159	354	L	191.0
Alexandre Muller	FRA	160	351	R	183.0
Giulio Zeppieri	ITA	161	350	L	185.0
Zsombor Piros	HUN	162	349	R	180.0
Liam Broady	GBR	163	348	L	183.0
Rinky Hijikata	AUS	164	344	U	nan
Carlos Taberner	ESP	165	343	R	183.0
Felipe Meligeni Alves	BRA	166	343	R	185.0
Ryan Peniston	GBR	167	340	U	nan
Ricardas Berankis	LTU	168	339	R	175.0
Alexander Ritschard	SUI	169	335	R	nan
Geoffrey Blancaneaux	FRA	170	335	R	180.0
Flavio Cobolli	ITA	171	335	R	nan
Fabian Marozsan	HUN	173	328	R	191.0
Enzo Couacaud	FRA	174	327	R	183.0
Otto Virtanen	FIN	175	321	R	191.0
Emilio Nava	USA	178	320	R	183.0
Benoit Paire	FRA	179	317	R	196.0
Dennis Novak	AUT	180	316	R	183.0
Antoine Bellier	SUI	183	309	L	196.0
Tung Lin Wu	TPE	184	307	R	188.0
Oleksii Krutykh	UKR	185	307	R	nan
Damir Dzumhur	BIH	186	304	R	172.0
Riccardo Bonadio	ITA	187	301	U	nan
Mikhail Kukushkin	KAZ	188	300	R	183.0
Facundo Diaz Acosta	ARG	191	291	L	183.0
Juncheng Shang	CHN	192	289	L	nan
Sebastian Ofner	AUT	193	288	R	191.0
Dimitar Kuzmanov	BUL	196	282	R	183.0
Dominik Koepfer	GER	199	279	L	180.0
Laurent Lokoli	FRA	204	269	R	188.0
Luciano Darderi	ITA	206	266	R	nan
Alexis Galarneau	CAN	207	265	R	nan
Li Tu	AUS	210	264	R	180.0
Matheus Pucinelli De Almeida	BRA	211	263	R	183.0
Andrea Vavassori	ITA	213	262	R	193.0
Mitchell Krueger	USA	214	258	R	188.0
Nicolas Moreno De Alboran	USA	215	257	R	nan
Brandon Holt	USA	217	255	R	nan
Kimmer Coppejans	BEL	218	254	R	180.0
Max Purcell	AUS	220	252	R	185.0
Yu Hsiou Hsu	TPE	221	250	U	nan
Dalibor Svrcina	CZE	222	249	R	nan
Marco Trungelliti	ARG	223	247	R	178.0
Genaro Alberto Olivieri	ARG	224	246	U	nan
Thiago Agustin Tirante	ARG	225	244	R	185.0
Ernesto Escobedo	MEX	226	243	R	185.0
Gabriel Diallo	CAN	227	242	R	nan
Nicholas David Ionel	ROU	229	240	R	nan
Tomas Barrios Vera	CHI	230	239	R	191.0
Nino Serdarusic	CRO	234	238	R	191.0
Altug Celikbilek	TUR	236	236	R	183.0
Lloyd Harris	RSA	237	230	R	193.0
Skander Mansouri	TUN	239	227	R	nan
Nerman Fatic	BIH	241	226	R	191.0
Ivan Gakhov	RUS	242	224	L	nan
Nam Hoang Ly	VIE	244	221	R	nan
Kacper Zuk	POL	245	220	R	183.0
Jan Choinski	GBR	248	218	R	nan
